Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",525,3291-148258786-148259310-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-07-20,Pangolin,Retirement for Person or Organization,Retired on behalf of Dexus Property Group for NCOS for FY2017/18
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",6,3291-148259653-148259658-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-06-29,,,
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",343,3291-148279259-148279601-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-12-14,Pangolin,Retirement for Person or Organization,Retired on behalf of 4 Pines Brewing Company for 2018 flight and fleet vehicle emissions.
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",3,3291-148259311-148259313-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-09-24,Pangolin,NCOS Programme,Retired on behalf of With_Architecture Studio NCOS Emissions for FY17/18
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",76,3291-148259314-148259389-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-11-04,Pangolin,NCOS Programme,Retired on behalf of With_Architecture Studio for FY18/19
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",71,3291-148259390-148259460-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-11-12,Pangolin,Environmental Benefit,Retired on behalf of Reho Travel Pty Ltd for FY18/19
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",100,3291-148259461-148259560-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-12-20,Pangolin,Environmental Benefit,Retired on behalf of Hub Australia’s H1 FY19 corporate travel flight emissions
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",312,3291-148279602-148279913-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-02-25,Pangolin,Retirement for Person or Organization,"Retired on behalf of Gateway Building, 26 Lee Street, Sydney NSW 2000 for NCOS building certification for the NABERS rating period of 01/11/2017 to 31/10/2018"
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",50,3291-148259561-148259610-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-05-02,Pangolin,NCOS Programme,Retired on behalf of 4A Centre for Contemporary Asian Art for NCOS Emissions for CY2018
2014-03-24,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",42,3291-148279914-148279955-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-04-16,Pangolin,Retirement for Person or Organization,Retired on behalf of Trinity College student offsetting program 2019
